score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_dor 	iterations 	 100 	vc 	 3 	arbiters 	 0 	score 	 20092240.00 	min_score 	 20092240.00 	max_score 	 51775048.00 	mean_score 	 26371514.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 698491
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_dor 	iterations 	 300 	vc 	 3 	arbiters 	 0 	score 	 18761670.00 	min_score 	 18761670.00 	max_score 	 48723408.00 	mean_score 	 26154770.00 	score_param1 	 131078 	score_param2 	 13 	score_param3 	 565374
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_dor 	iterations 	 500 	vc 	 3 	arbiters 	 0 	score 	 18576790.00 	min_score 	 18576790.00 	max_score 	 43131912.00 	mean_score 	 26797356.00 	score_param1 	 131072 	score_param2 	 14 	score_param3 	 546945
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_dor 	iterations 	 700 	vc 	 3 	arbiters 	 0 	score 	 18576790.00 	min_score 	 18576790.00 	max_score 	 47739860.00 	mean_score 	 30068000.00 	score_param1 	 131072 	score_param2 	 14 	score_param3 	 546945
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_dor 	iterations 	 900 	vc 	 5 	arbiters 	 0 	score 	 18597430.00 	min_score 	 18597430.00 	max_score 	 47433088.00 	mean_score 	 27043228.00 	score_param1 	 131072 	score_param2 	 15 	score_param3 	 549008
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_bdor 	iterations 	 100 	vc 	 3 	arbiters 	 0 	score 	 18720850.00 	min_score 	 18720850.00 	max_score 	 48395680.00 	mean_score 	 23050142.00 	score_param1 	 131078 	score_param2 	 15 	score_param3 	 561290
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_bdor 	iterations 	 300 	vc 	 3 	arbiters 	 0 	score 	 18556870.00 	min_score 	 18556870.00 	max_score 	 56751548.00 	mean_score 	 29937356.00 	score_param1 	 131078 	score_param2 	 13 	score_param3 	 544894
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_bdor 	iterations 	 500 	vc 	 3 	arbiters 	 0 	score 	 18556870.00 	min_score 	 18556870.00 	max_score 	 38298940.00 	mean_score 	 24395564.00 	score_param1 	 131078 	score_param2 	 13 	score_param3 	 544894
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_bdor 	iterations 	 700 	vc 	 3 	arbiters 	 0 	score 	 18556870.00 	min_score 	 18556870.00 	max_score 	 48068408.00 	mean_score 	 27758284.00 	score_param1 	 131078 	score_param2 	 13 	score_param3 	 544894
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_bdor 	iterations 	 900 	vc 	 3 	arbiters 	 0 	score 	 18617930.00 	min_score 	 18617930.00 	max_score 	 46347408.00 	mean_score 	 22857220.00 	score_param1 	 131072 	score_param2 	 14 	score_param3 	 551059
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_local 	iterations 	 100 	vc 	 3 	arbiters 	 0 	score 	 18617930.00 	min_score 	 18617930.00 	max_score 	 50485000.00 	mean_score 	 29044192.00 	score_param1 	 131072 	score_param2 	 14 	score_param3 	 551059
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_local 	iterations 	 300 	vc 	 3 	arbiters 	 0 	score 	 18617930.00 	min_score 	 18617930.00 	max_score 	 41247688.00 	mean_score 	 23717312.00 	score_param1 	 131072 	score_param2 	 14 	score_param3 	 551059
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_local 	iterations 	 500 	vc 	 3 	arbiters 	 0 	score 	 18556270.00 	min_score 	 18556270.00 	max_score 	 44299208.00 	mean_score 	 22507144.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 544894
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_local 	iterations 	 700 	vc 	 3 	arbiters 	 0 	score 	 18556270.00 	min_score 	 18556270.00 	max_score 	 45262120.00 	mean_score 	 25192078.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 544894
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_local 	iterations 	 900 	vc 	 3 	arbiters 	 0 	score 	 18556270.00 	min_score 	 18556270.00 	max_score 	 51119640.00 	mean_score 	 26603030.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 544894
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_directed_valient 	iterations 	 100 	vc 	 5 	arbiters 	 0 	score 	 20092440.00 	min_score 	 20092440.00 	max_score 	 40162840.00 	mean_score 	 25366070.00 	score_param1 	 65536 	score_param2 	 15 	score_param3 	 1353869
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_directed_valient 	iterations 	 300 	vc 	 3 	arbiters 	 0 	score 	 20338430.00 	min_score 	 20338430.00 	max_score 	 40019340.00 	mean_score 	 25595564.00 	score_param1 	 65538 	score_param2 	 16 	score_param3 	 1378447
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_directed_valient 	iterations 	 500 	vc 	 4 	arbiters 	 0 	score 	 20031090.00 	min_score 	 20031090.00 	max_score 	 47596888.00 	mean_score 	 32937504.00 	score_param1 	 65536 	score_param2 	 15 	score_param3 	 1347734
