link,ctx,src,tp,count,dst[0],out[0],dst[1],out[1],dst[2],out[2],dst[3],out[3],dst[4],out[4]
TopQuery/StreamInfKmeans_D0Top/go1417,249,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1383,1,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer343,TopQuery/StreamInfKmeans_D0Top/gi1390,,
TopQuery/StreamInfKmeans_D0Top/go2677,376,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2674,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer374,TopQuery/StreamInfKmeans_D0Top/gi2678,,
TopQuery/StreamInfKmeans_D0Top/go2676,376,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2674,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer374,TopQuery/StreamInfKmeans_D0Top/gi2679,,
TopQuery/StreamInfKmeans_D0Top/go2671,307,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2669,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer303,TopQuery/StreamInfKmeans_D0Top/gi2672,,
TopQuery/StreamInfKmeans_D0Top/go2670,307,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2669,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer303,TopQuery/StreamInfKmeans_D0Top/gi2673,,
TopQuery/StreamInfKmeans_D0Top/go1388,283,TopQuery/StreamInfKmeans_D0Top/MemoryContainer265,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1379,TopQuery/StreamInfKmeans_D0Top/gi1406,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2767,TopQuery/StreamInfKmeans_D0Top/gi2769
TopQuery/StreamInfKmeans_D0Top/go1404,2698,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2766,1,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1380,TopQuery/StreamInfKmeans_D0Top/gi1409,,
TopQuery/StreamInfKmeans_D0Top/go1408,244,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1379,1,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1381,TopQuery/StreamInfKmeans_D0Top/gi1411,,
TopQuery/StreamInfKmeans_D0Top/go2688,424,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2686,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer422,TopQuery/StreamInfKmeans_D0Top/gi2691,,
TopQuery/StreamInfKmeans_D0Top/go2689,424,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2686,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer422,TopQuery/StreamInfKmeans_D0Top/gi2690,,
TopQuery/StreamInfKmeans_D0Top/go1397,456,TopQuery/StreamInfKmeans_D0Top/MemoryContainer422,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1383,TopQuery/StreamInfKmeans_D0Top/gi1416,,
TopQuery/StreamInfKmeans_D0Top/go1394,410,TopQuery/StreamInfKmeans_D0Top/MemoryContainer374,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1382,TopQuery/StreamInfKmeans_D0Top/gi1413,,
TopQuery/StreamInfKmeans_D0Top/go1391,362,TopQuery/StreamInfKmeans_D0Top/MemoryContainer343,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1384,TopQuery/StreamInfKmeans_D0Top/gi1418,,
TopQuery/StreamInfKmeans_D0Top/go2683,382,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2680,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer374,TopQuery/StreamInfKmeans_D0Top/gi2684,,
TopQuery/StreamInfKmeans_D0Top/go2694,429,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2692,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer422,TopQuery/StreamInfKmeans_D0Top/gi2697,,
TopQuery/StreamInfKmeans_D0Top/go2664,279,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2662,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer265,TopQuery/StreamInfKmeans_D0Top/gi2668,,
TopQuery/StreamInfKmeans_D0Top/go2665,279,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2662,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer265,TopQuery/StreamInfKmeans_D0Top/gi2667,,
TopQuery/StreamInfKmeans_D0Top/go2682,382,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2680,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer374,TopQuery/StreamInfKmeans_D0Top/gi2685,,
TopQuery/StreamInfKmeans_D0Top/go2663,279,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2662,1,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer265,TopQuery/StreamInfKmeans_D0Top/gi2666,,
/TopQuery/TopDB/DBMLTokenConvert/in_2,/TopQuery/TopDB/DBMLTokenConvert,/TopQuery/TopDB/DBMLTokenConvert,2,100000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1377,TopQuery/StreamInfKmeans_D0Top/gi1400
/TopQuery/TopDB/DBMLTokenConvert/in_1,/TopQuery/TopDB/DBMLTokenConvert,/TopQuery/TopDB/DBMLTokenConvert,2,100000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer265,TopQuery/StreamInfKmeans_D0Top/gi1386
TopQuery/StreamInfKmeans_D0Top/out_2,239,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1377,2,1000000,/TopQuery/TopDB/DBMLTokenConvert,/TopQuery/TopDB/DBMLTokenConvert/out_2
TopQuery/StreamInfKmeans_D0Top/out_1,251,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1384,2,1000000,/TopQuery/TopDB/DBMLTokenConvert,/TopQuery/TopDB/DBMLTokenConvert/out_1
